videoId,totalWords,totalUniqueWords,totalSentences,avgSyllPerSec,avgCEFRScore,readability,uncommonRatio,A1ratio,A2ratio,B1ratio,B2ratio,C1ratio,C2ratio,Nratio
anxRp3ae0bs,1201,636,110,2.05885221763207,3.1845911949685535,8.039309113779304,47.48427672955975,30.754716981132074,14.213836477987421,13.584905660377359,12.232704402515724,5.6918238993710695,0.0628930817610063,23.459119496855344
gxxkZcJvvAM,349,202,51,2.330748101470351,2.5673267326732674,5.811201786060959,34.65346534653465,46.03960396039604,14.356435643564355,11.683168316831685,8.217821782178218,4.158415841584159,0.0,15.544554455445544
6KMmWQ73sCk,686,309,111,2.239397939868442,2.7462783171521035,5.876472212017844,35.275080906148865,42.20064724919094,15.598705501618124,11.067961165048544,7.896440129449838,2.977346278317152,0.0,20.258899676375407
o0DdM-AEdgg,1275,464,171,2.265981534937986,2.7551724137931033,6.1889840441621295,36.853448275862064,40.86206896551724,15.60344827586207,12.241379310344827,8.706896551724137,3.620689655172414,0.0,18.96551724137931
Q3cNWpAUQnE,736,310,110,2.2537348178950163,2.681935483870968,5.78196586510264,34.516129032258064,44.193548387096776,14.32258064516129,11.35483870967742,7.935483870967743,3.612903225806451,0.0,18.580645161290324
k_HmywMAoVo,554,264,120,1.8052497047563982,2.6234848484848485,5.0736457575757585,30.681818181818183,46.060606060606055,14.318181818181817,10.681818181818182,7.424242424242425,3.181818181818182,0.0,18.333333333333332
Kwsq-hfTTjE,292,196,44,1.853159195199436,2.639795918367347,5.807326901669759,34.69387755102041,44.285714285714285,13.77551020408163,12.857142857142856,8.877551020408163,3.1632653061224487,0.10204081632653061,16.93877551020408
dAMf5L_PLdo,325,157,52,2.3063206956138598,2.3783439490445857,5.4392356687898085,32.48407643312102,55.6687898089172,11.59235668789809,7.643312101910828,5.987261146496816,2.547770700636943,0.0,16.560509554140125
zDcxkAEcYGo,2652,770,364,2.3936614530127525,2.951428571428571,6.574838961038962,39.350649350649356,34.285714285714285,17.16883116883117,13.506493506493506,9.844155844155845,4.545454545454546,0.025974025974025976,20.623376623376625
NhvtDO1GZ8I,1051,389,144,2.376609002895723,2.6385604113110537,6.004196201085405,35.732647814910024,44.113110539845756,15.629820051413882,10.796915167095115,8.534704370179949,3.5989717223650386,0.0,17.326478149100257
sP_vqFQZ2yo,88,60,13,1.7186473234595356,2.5933333333333337,5.599087179487179,33.33333333333333,53.99999999999999,8.333333333333332,7.333333333333333,5.333333333333334,4.666666666666666,0.0,20.333333333333332
6rF63xyERGo,202,123,39,2.1548117154811717,2.47479674796748,5.39186191369606,32.52032520325203,50.081300813008134,13.821138211382115,9.430894308943088,7.154471544715448,4.227642276422764,0.0,15.284552845528458
nbEVqKg3W9c,738,326,101,2.4495164316699545,2.5926380368098156,5.254417627406912,30.981595092024538,45.030674846625764,14.294478527607362,12.82208588957055,8.098159509202453,3.742331288343558,0.0,16.01226993865031
YtpFlOQVoYE,617,312,88,2.023408470986426,2.8141025641025648,6.977539277389278,41.98717948717949,40.06410256410257,14.871794871794872,12.692307692307692,8.333333333333332,4.038461538461538,0.0,20.0
TbNuuLdQjX4,245,115,37,1.9370167746750149,2.511304347826087,5.4086933019976495,32.17391304347826,48.69565217391305,13.91304347826087,11.304347826086957,5.565217391304348,4.695652173913044,0.0,15.826086956521737
NoL7mJ8i7oE,176,102,20,2.3728764211782862,2.5803921568627453,5.699813333333333,33.33333333333333,53.333333333333336,8.823529411764707,8.03921568627451,6.078431372549019,3.7254901960784315,0.0,20.0
Pefym39ADrk,541,240,87,2.0535197822405684,2.6233333333333335,6.032307183908046,36.25,45.5,15.583333333333332,10.166666666666666,7.000000000000001,3.3333333333333335,0.0,18.416666666666668
AZCkE0qknlk,1005,414,158,2.0285222107650807,2.7285024154589372,6.150928453494771,36.95652173913043,43.18840579710145,15.603864734299517,10.434782608695652,7.004830917874397,3.4782608695652173,0.04830917874396136,20.241545893719806
CZ6ILw2OoLw,201,147,21,2.197513857456787,2.9537414965986395,5.952906122448979,34.69387755102041,39.183673469387756,14.829931972789115,7.482993197278912,11.292517006802722,4.35374149659864,0.0,22.857142857142858
PZIVFtpncwc,402,209,61,1.6811054791008984,2.9464114832535886,6.899742944544671,41.62679425837321,42.67942583732058,11.004784688995215,8.32535885167464,9.665071770334928,3.6363636363636362,0.09569377990430622,24.593301435406698
ug3SJ-AW230,447,232,73,2.544289141583703,2.5,5.272120240906943,31.46551724137931,50.689655172413794,12.068965517241379,10.258620689655173,7.155172413793104,3.189655172413793,0.0,16.637931034482758
DwrEZRbkb4U,191,99,48,2.543484735067089,2.1030303030303026,3.7062555555555554,22.22222222222222,58.58585858585859,13.333333333333334,10.1010101010101,5.454545454545455,2.2222222222222223,0.0,10.303030303030303
Uvqn--jP18Y,213,143,42,1.658732582607404,3.07972027972028,6.8767176823176825,41.95804195804196,39.02097902097902,10.20979020979021,11.328671328671328,8.251748251748252,5.594405594405594,0.0,25.594405594405593
sUGLf1bVJyI,529,259,103,2.1612706988062094,2.5305019305019303,5.6806490834801515,34.36293436293436,49.49806949806949,14.131274131274132,9.343629343629344,5.637065637065637,3.6293436293436296,0.0,17.760617760617762
YS3X_yacdjM,522,252,75,2.2994361933413385,2.426984126984127,5.796525523809525,34.523809523809526,48.968253968253975,15.079365079365079,11.031746031746032,8.095238095238095,2.857142857142857,0.0,13.968253968253968
tJPDNymPjYQ,538,257,85,2.4372575947361272,2.652918287937743,5.84351080796521,35.019455252918284,45.525291828793776,13.229571984435799,10.894941634241246,8.638132295719844,4.202334630350195,0.0,17.509727626459142
Ggf0hJE-b4k,239,130,34,2.2011703315512805,2.436923076923077,5.207120361990951,30.76923076923077,50.15384615384616,13.076923076923078,10.923076923076923,8.923076923076923,2.6153846153846154,0.0,14.30769230769231
W2-tmVbIDNw,272,163,51,1.6379760245657302,2.570552147239264,4.817478118609407,28.834355828220858,46.62576687116564,14.846625766871165,10.061349693251532,8.588957055214724,3.067484662576687,0.0,16.809815950920246
f1gms5x1vfQ,264,128,36,2.018487570503446,2.4390625,5.174748958333334,30.46875,53.75,10.3125,9.0625,7.968749999999999,2.96875,0.15625,15.78125
iz03Ye9fd20,397,183,61,2.1634234193416835,2.5256830601092894,6.190128961748635,37.15846994535519,49.8360655737705,15.191256830601093,7.978142076502732,5.355191256830602,2.841530054644809,0.0,18.797814207650273
Zl4HGvKIucE,221,146,38,2.106939425491517,2.1863013698630134,4.073737130497476,23.972602739726025,54.93150684931507,14.794520547945206,10.95890410958904,5.89041095890411,2.8767123287671232,0.0,10.547945205479452
Fype1jfwdig,148,79,22,1.9980239323745754,2.5924050632911393,6.130001841196779,36.708860759493675,52.91139240506328,11.139240506329115,6.582278481012659,5.063291139240507,1.772151898734177,0.5063291139240507,22.0253164556962
Yvfqk7GVi50,569,238,85,2.2132078788626184,2.5075630252100845,5.108834957983194,30.252100840336134,49.495798319327726,14.033613445378151,8.823529411764707,7.647058823529411,3.8655462184873945,0.0,16.134453781512605
TlXLCrzpToo,662,311,128,2.4853944719917513,2.807073954983923,6.14604268488746,37.29903536977492,43.15112540192926,13.762057877813504,9.839228295819936,7.588424437299037,3.7942122186495184,0.0,21.864951768488748
VIE-NTkSjFQ,171,90,35,1.9397594976823866,2.271111111111111,4.803886984126984,28.888888888888886,56.22222222222223,13.111111111111112,8.444444444444445,6.000000000000001,2.0,0.0,14.222222222222221
